Date,Map,Result,VOD_Link,Score_Us,Score_Enemy,MatchID,MyComp_1,MyComp_2,MyComp_3,MyComp_4,MyComp_5,Pistol_Def_W,Pistol_Atk_W,Def_R_W,Def_R_L,Atk_R_W,Atk_R_L,Source,EnComp_1,EnComp_2,EnComp_3,EnComp_4,EnComp_5,Delta,DateObj
02.04.2025,Ascent,W,https://www.youtube.com/watch?v=E_PiaDaKKKE,15.0,13.0,,Tejo,Omen,Deadlock,Vyse,Yoru,0.0,0.0,7.0,7.0,8.0,6.0,Legacy,,,,,,2.0,2025-04-02
03.04.2025,Ascent,L,-,6.0,13.0,,Tejo,Omen,Deadlock,Vyse,Yoru,1.0,0.0,2.0,5.0,4.0,8.0,Legacy,,,,,,-7.0,2025-04-03
03.04.2025,Ascent,L,-,7.0,13.0,,Sova,Omen,Cypher,Phoenix,Jett,0.0,0.0,3.0,5.0,4.0,8.0,Legacy,,,,,,-6.0,2025-04-03
09.04.2025,Fracture,L,https://www.youtube.com/watch?v=v-ugKuWXyME&feature=youtu.be,4.0,13.0,,Tejo,Brimstone,Cypher,Breach,Neon,0.0,0.0,2.0,3.0,2.0,10.0,Legacy,,,,,,-9.0,2025-04-09
10.04.2025,Fracture,W,www.youtube.com/watch?v=MmqYt_MXf4I&feature=youtu.be,13.0,9.0,,Tejo,Brimstone,Vyse,Breach,Neon,1.0,1.0,6.0,6.0,7.0,3.0,Legacy,,,,,,4.0,2025-04-10
10.04.2025,Fracture,L,https://www.youtube.com/watch?v=eB-jqtsRYgU,11.0,13.0,,Tejo,Brimstone,Vyse,Breach,Neon,1.0,1.0,7.0,5.0,4.0,8.0,Legacy,,,,,,-2.0,2025-04-10
27.04.2025,Pearl,L,,7.0,13.0,,Astra,Sova,Vyse,Chamber,Yoru,0.0,0.0,3.0,5.0,4.0,8.0,Legacy,,,,,,-6.0,2025-04-27
03.05.2025,Sunset,W,https://youtu.be/T-bNBA3dF3M,13.0,7.0,,Omen,Breach,Fade,Neon,Cypher,1.0,0.0,7.0,5.0,6.0,2.0,Legacy,,,,,,6.0,2025-05-03
03.05.2025,Icebox,L,https://youtu.be/HoyamMbL3cg,4.0,13.0,,Omen,Viper,Kay/O,Gekko,Killjoy,1.0,0.0,2.0,3.0,2.0,10.0,Legacy,,,,,,-9.0,2025-05-03
09.05.2025,Haven,L,https://www.youtube.com/watch?v=brpJ70vkals&list=PLqdLL4Iya-Mz8ADdQAyNNREUUzp3spzH-&index=5,11.0,13.0,,Cypher,Omen,Iso,Sova,Yoru,0.0,0.0,5.0,7.0,6.0,6.0,Legacy,,,,,,-2.0,2025-05-09
10.05.2025,Haven,W,https://www.youtube.com/watch?v=_lq4aBqN6no,12.0,5.0,,Cypher,Fade,Iso,Sova,Yoru,1.0,1.0,4.0,1.0,8.0,4.0,Legacy,,,,,,7.0,2025-05-10
